Time,Gaze_Direction.x,Gaze_Direction.y,Gaze_Direction.z,Gaze_Origin.x,Gaze_Origin.y,Gaze_Origin.z,Head_Movement_Direction.x,Head_Movement_Direction.y,Head_Movement_Direction.z,Head_Velocity.x,Head_Velocity.y,Head_Velocity.z,Hit_Normal.x,Hit_Normal.y,Hit_Normal.z,Hit_Position.x,Hit_Position.y,Hit_Position.z,Cursor_Position.x,Cursor_Position.y,Cursor_Position.z
3.34,0.2020135,-0.4778718,0.8548855,-0.01353212,-0.01944616,0.02928852,0,0,0,0,0,0,0,0,0,0,0,0,0.3904948,-0.9751897,1.73906
3.36,0.2087627,-0.4586863,0.8637275,-0.01416604,-0.01997911,0.0299627,-0.06836882,-0.09809498,0.1476586,-0.03816057,-0.05483816,0.08259361,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.4033593,-0.9373516,1.757418
3.41,0.2137329,-0.4465792,0.8688414,-0.01412728,-0.01973242,0.03007724,-0.09768451,-0.1399142,0.2105297,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.4133385,-0.9128909,1.76776
3.42,0.2168665,-0.4366671,0.8730927,-0.01415479,-0.01954941,0.03021206,-0.1241372,-0.177356,0.2672115,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.4195783,-0.8928835,1.776397
3.44,0.2198748,-0.4267818,0.8772186,-0.01417356,-0.01934176,0.03029977,-0.1480293,-0.2107776,0.3183686,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.4255759,-0.8729053,1.784737
3.46,0.2226066,-0.417551,0.8809639,-0.01420713,-0.01912763,0.03035425,-0.169626,-0.2405107,0.3645944,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.4310061,-0.8542297,1.792282
3.47,0.2251885,-0.4085037,0.8845422,-0.01422625,-0.01889772,0.03037124,-0.1891895,-0.2668754,0.4063975,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.4361508,-0.8359051,1.799456
3.49,0.2273379,-0.4002164,0.8877749,-0.01418013,-0.01866048,0.03034557,-0.2069335,-0.2901745,0.4442351,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.4404958,-0.8190933,1.805895
3.51,0.2292957,-0.3921337,0.8908731,-0.01412425,-0.0184112,0.03028405,-0.2229786,-0.3107186,0.4785269,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.4444671,-0.8026786,1.81203
3.52,0.2629755,-0.1995623,0.943938,-0.0122376,-0.01190142,0.02808205,-0.2374937,-0.3287755,0.5096302,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.5137133,-0.4110259,1.915958
