Timestep,Shank_x,Shank_y,Shank_z,Thigh_x,Thigh_y,Thigh_z,Trunk_x,Trunk_y,Trunk_z,FoG
0,50,19,1019,-272,-50,953,300,-19,961,0
1,30,19,1039,-263,-50,953,291,0,961,0
2,50,19,1029,-263,-40,953,300,0,971,0
3,50,9,1029,-263,-50,953,300,9,971,0
4,50,0,1029,-281,-70,962,310,-19,952,0
5,60,19,1029,-263,-60,972,291,0,980,0
6,60,19,1029,-254,-40,953,300,-19,971,0
7,70,29,1019,-245,-50,962,320,0,980,0
8,40,29,1049,-245,-30,953,310,-9,971,0
9,40,9,1029,-236,-40,944,300,0,980,0
10,40,9,1049,-254,-50,953,310,-19,971,0
11,60,-9,1039,-254,-50,953,300,-9,971,0
12,40,19,1058,-263,-50,962,291,29,980,0
13,50,19,1039,-254,-40,962,300,-9,971,0
14,50,0,1039,-254,-50,953,300,0,971,0
15,40,9,1029,-263,-50,944,291,-9,971,0
16,40,0,1039,-272,-60,953,310,-19,952,0
17,40,-9,1049,-254,-40,953,300,-19,961,0
18,50,9,1039,-254,-40,962,281,-9,971,0
19,50,0,1058,-254,-30,953,281,-38,1000,0
20,50,0,1029,-245,-30,972,271,-19,980,0
21,40,9,1039,-263,-40,972,281,-29,971,0
22,50,0,1039,-254,-60,944,271,-19,971,0
23,30,29,1039,-254,-50,962,271,-19,980,0
24,40,19,1039,-254,-50,962,271,-19,980,0
25,40,9,1029,-254,-60,944,271,-19,971,0
26,30,9,1029,-254,-50,935,262,-19,971,0
27,40,-9,1039,-272,-50,953,271,-19,980,0
28,40,0,1029,-272,-50,953,271,-29,980,0
29,40,0,1039,-272,-70,953,252,-9,1009,0
30,40,-9,1029,-272,-50,953,252,-19,990,0
31,30,0,1039,-272,-60,953,252,-29,971,0
32,40,0,1029,-263,-70,944,242,-48,980,0
33,50,-19,1019,-263,-70,944,252,-38,961,0
34,50,-9,1029,-272,-70,953,262,-29,971,0
35,50,9,1029,-263,-60,953,242,-48,980,0
36,40,0,1039,-272,-50,953,242,-48,980,0
37,40,0,1039,-263,-70,972,262,-48,971,0
38,20,0,1049,-254,-50,962,252,-58,990,0
39,40,-9,1058,-236,-60,962,252,-48,980,0
40,40,19,1049,-263,-70,962,262,-48,990,0
41,70,29,1068,-254,-80,962,252,-48,990,0
42,90,49,1127,-272,-60,962,262,-48,1009,0
43,90,49,1127,-263,-30,972,271,-19,990,0
44,30,69,1098,-245,-40,981,281,-48,990,0
45,-70,49,1058,-309,-60,962,320,-48,1028,0
46,-70,89,1058,-481,-131,907,339,-67,990,0
47,-70,89,1058,-581,-212,851,330,-87,933,0
48,60,445,950,-600,-202,861,291,-135,866,0
49,191,455,1029,-427,-111,851,252,-155,838,0
50,90,455,1019,-272,-60,962,184,-145,857,0
51,90,455,1019,-209,-70,916,126,-126,933,0
52,-20,316,1039,-181,-10,898,97,-106,990,0
53,70,168,1019,-27,121,833,126,-97,1028,0
54,181,49,1000,9,444,787,77,-174,1095,0
55,-50,49,823,-27,414,787,9,-135,1038,0
56,10,-9,696,9,262,1018,58,-135,971,0
57,30,-148,725,172,-30,1101,87,-165,980,0
58,171,-425,794,-81,-212,1194,126,-165,990,0
59,707,-1000,1284,-936,-848,1555,291,29,1028,0
60,-70,-752,1794,-881,-636,1083,427,135,1133,0
61,717,9,1009,-881,-636,1083,427,29,1171,0
62,353,198,1000,-54,-212,703,349,-233,1104,0
63,0,257,1019,572,595,1009,291,-135,800,0
64,20,19,1058,127,303,1083,300,-58,809,0
65,0,138,1058,-627,-30,861,291,106,838,0
66,90,178,1049,-718,111,907,339,194,923,0
67,60,118,1058,-427,80,879,388,203,961,0
68,30,89,1049,-354,20,898,417,135,980,0
69,10,69,1029,-418,10,925,388,135,952,0
70,-10,99,1039,-454,70,879,310,97,914,0
71,-10,118,1009,-445,111,851,223,38,933,0
72,40,148,1068,-427,111,898,213,38,971,0
73,60,138,1049,-345,151,916,203,19,1047,0
74,80,118,1068,-254,141,925,291,-29,1114,0
75,111,138,1068,-209,111,1027,349,-97,1133,0
76,181,59,1009,-100,60,1064,223,9,971,0
77,151,49,1039,-81,0,1046,233,29,942,0
78,80,79,1029,-154,-20,1018,300,126,952,0
79,50,89,1039,-290,-10,935,349,67,1038,0
80,50,128,1039,-354,50,898,378,19,1028,0
81,30,128,1039,-345,70,898,378,-19,942,0
82,-10,99,1029,-354,30,898,310,-48,914,0
83,0,59,1049,-381,0,907,271,-67,923,0
84,20,79,1039,-372,-30,925,252,-9,942,0
85,30,89,1029,-363,-30,935,252,-9,942,0
86,50,69,1019,-336,-30,935,300,-38,1000,0
87,50,59,1009,-336,-30,944,300,-38,1000,0
88,40,59,1019,-309,-20,935,320,-58,961,0
89,30,79,1009,-300,0,935,339,-48,914,0
90,70,79,1009,-263,10,944,330,-29,923,0
91,70,49,1009,-209,30,944,330,-77,952,0
92,50,79,1009,-209,50,981,310,-38,961,0
93,80,79,1009,-200,70,981,281,-19,980,0
94,101,79,1029,-163,60,972,281,-38,980,0
95,111,89,1039,-145,20,1000,291,-19,1000,0
96,70,79,1019,-209,10,990,291,48,942,0
97,50,59,1049,-290,-30,962,320,58,923,0
98,40,89,1068,-345,20,935,320,58,923,0
99,40,108,1039,-354,80,935,388,38,952,0
100,20,108,1039,-327,80,916,407,48,942,0
101,30,99,1049,-327,121,916,349,48,942,0
102,-20,89,1068,-372,90,925,330,38,933,0
103,10,108,1058,-372,80,935,330,38,933,0
104,60,108,1029,-318,80,935,291,38,980,0
105,60,108,1039,-245,90,953,271,29,942,0
106,80,89,1049,-236,80,962,300,67,952,0
107,80,99,1039,-236,60,981,300,67,952,0
108,40,79,1039,-245,70,962,320,48,990,0
109,50,118,1019,-254,70,962,310,48,1000,0
110,50,118,1039,-245,90,935,310,48,1000,0
111,60,118,1049,-236,70,972,281,19,990,0
112,70,118,1019,-227,70,962,252,48,980,0
113,60,89,1029,-227,60,972,252,9,980,0
114,60,99,1029,-236,40,953,262,19,990,0
115,60,99,1039,-236,40,972,262,9,990,0
116,60,89,1039,-254,60,944,262,9,990,0
117,60,118,1029,-254,70,953,271,9,961,0
118,40,89,1039,-281,50,953,271,0,980,0
119,30,108,1029,-281,80,944,262,-9,980,0
120,40,89,1029,-281,40,962,252,29,980,0
121,30,89,1029,-281,40,962,262,9,961,0
122,50,89,1039,-272,50,944,223,0,990,0
123,60,89,1009,-281,30,953,242,0,980,0
124,50,79,1039,-272,60,953,223,9,1009,0
125,40,89,1029,-254,50,972,223,-9,1000,0
126,50,108,1039,-245,50,962,233,9,971,0
127,40,89,1029,-254,70,944,213,-19,990,0
128,40,108,1049,-272,60,944,233,-19,990,0
129,40,89,1049,-272,50,953,213,-38,1009,0
130,40,79,1049,-281,80,953,194,-29,1000,0
131,40,99,1029,-272,50,953,184,-58,1000,0
132,30,79,1029,-290,30,953,194,-29,971,0
133,40,108,1039,-281,40,935,184,-29,1000,0
134,40,89,1029,-281,20,953,203,-38,990,0
135,60,79,1029,-272,40,944,203,-29,961,0
136,50,89,1039,-263,30,953,184,-19,980,0
137,50,89,1049,-263,30,962,194,-48,990,0
138,40,89,1039,-254,60,953,203,-29,980,0
139,40,69,1039,-254,30,972,184,-29,1009,0
140,50,69,1049,-254,70,962,203,-38,1009,0
141,60,89,1039,-254,50,972,203,-48,980,0
142,60,69,1029,-236,30,962,184,-29,990,0
143,40,89,1049,-245,30,972,194,-38,1000,0
144,50,69,1039,-263,30,972,203,-38,980,0
145,70,79,1029,-254,30,962,213,-29,990,0
146,50,89,1039,-263,30,962,194,-48,990,0
147,60,69,1029,-245,30,962,203,-58,1000,0
148,60,69,1019,-245,50,972,203,-38,990,0
149,60,59,1039,-236,50,962,194,-19,1000,0
150,60,59,1029,-254,50,962,203,-29,990,0
151,40,79,1029,-245,40,962,184,-38,1000,0
152,50,69,1019,-254,40,962,194,-48,1000,0
153,50,69,1029,-245,30,944,194,-38,1009,0
154,40,49,1049,-254,50,962,174,-19,1009,0
155,50,69,1039,-263,10,962,203,0,990,0
156,60,79,1029,-254,40,953,194,-29,1000,0
157,60,69,1029,-245,20,953,203,-29,990,0
158,40,49,1039,-236,20,944,203,-9,990,0
159,40,79,1039,-263,20,962,194,-19,980,0
160,50,99,1039,-272,20,953,203,-19,1000,0
161,40,79,1029,-263,30,953,194,-19,990,0
162,60,69,1029,-254,20,962,194,-19,1000,0
163,60,79,1029,-254,30,944,194,-19,990,0
164,40,69,1029,-254,10,972,184,9,1000,0
165,60,79,1039,-263,20,962,194,-9,1000,0
166,40,69,1039,-254,0,962,213,-19,1000,0
167,50,79,1039,-245,30,953,194,0,980,0
168,60,59,1039,-236,50,953,203,-19,990,0
169,40,79,1039,-245,30,972,194,-9,1000,0
170,60,59,1049,-254,30,944,194,-9,990,0
171,40,79,1039,-263,20,962,223,-19,971,0
172,50,49,1039,-263,20,972,203,-9,1000,0
173,40,79,1029,-254,40,962,194,-29,1019,0
174,40,69,1029,-236,30,944,184,0,990,0
175,40,79,1029,-263,50,962,194,-29,1009,0
